timestamp,country,search_query,source_url,data_quality_rating,notes
2026-05-29T14:29:22.596810,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.world-energy.org/article/33290.html,2,From search snippets
2026-05-29T14:29:25.681707,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.world-energy.org/article/33290.html,1,From full page fetch
2026-05-29T14:29:32.019067,Senegal,Senegal mini-grid solar deployment projects MW connections,https://energycapitalpower.com/unlocking-senegals-energy-market/,1,From full page fetch
2026-05-29T14:29:39.178829,Senegal,Senegal off-grid electrification rural energy access report,https://www.ntu.edu.sg/cas/news-events/news/details/mini-grids-providing-electricity-to-remote-areas-in-senegal,2,From search snippets
2026-05-29T14:29:43.648895,Senegal,Senegal off-grid electrification rural energy access report,https://www.ntu.edu.sg/cas/news-events/news/details/mini-grids-providing-electricity-to-remote-areas-in-senegal,1,From full page fetch
2026-05-29T14:29:48.305778,Senegal,Senegal off-grid electrification rural energy access report,https://www.readkong.com/page/senegal-off-grid-solar-market-assessment-3199370,1,From full page fetch
2026-05-29T14:30:59.394847,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,2,From search snippets
2026-05-29T14:31:01.437600,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,1,From full page fetch
2026-05-29T14:31:06.218731,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.ruralelec.org/asantys-systems-moves-forward-mini-grid-project-senegal/,1,From full page fetch
2026-05-29T14:31:09.789400,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.world-energy.org/article/33290.html,1,From full page fetch
2026-05-29T14:31:18.874935,Senegal,Senegal off-grid electrification rural energy access report,https://www.readkong.com/page/senegal-off-grid-solar-market-assessment-3199370,1,From full page fetch
2026-05-29T14:31:25.558197,Senegal,Senegal off-grid electrification rural energy access report,https://www.offgrideurope.com/blog/aser300-rural-electrification,1,From full page fetch
2026-05-29T14:31:42.035340,Senegal,Senegal mini-grid regulatory framework utility energy ministry,"https://energypedia.info/wiki/NAE_Case_Study:_Tanzania,_Mini-Grids_Regulatory_Framework",1,From full page fetch
