country,project_name,developer_operator,capacity_kw,num_connections,location,year_commissioned,technology_type,source_url,data_quality_rating,notes,extraction_timestamp
Chad,Noor Chad power plant,Unknown,50000,,N'Djamena,2025,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,coupled with 5 MWh of storage,2026-05-11T21:08:08.864864
Chad,Djermaya plant,Elsewedy Electric,36000,,Unknown,,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,,2026-05-11T21:08:08.867901
Chad,Klessoum project,Release by Scatec,36000,,Klessoum,,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,with 20 MWh of storage,2026-05-11T21:08:08.894187
Chad,N'Djamena solar plant,Axian Energy,100000,,N'Djamena,,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,with 50 MWh of storage,2026-05-11T21:08:08.896050
Chad,Gaoui project,AMEA Power,60000,,Gaoui,,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,,2026-05-11T21:08:08.898053
Chad,Convalt Energy project,Convalt Energy,120000,,N'Djamena,,solar,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,,2026-05-11T21:08:08.899927
Chad,PAAET,Unknown,,,"rural areas, Tchad",,Unknown,https://leconomistedumali.com/tchad-lelectrification-acceleree-par-les-mini-reseaux-solaires-via-une-phase-pilote-de-120-millions-de-dollars/,2,"Project will electrify 850 medical centers and 700 schools, but no details on mini-grid specifics",2026-05-11T21:08:08.901570
Chad,ONEE-BID,ONEE,,,"rural areas, Tchad",,Unknown,https://leconomistedumali.com/tchad-lelectrification-acceleree-par-les-mini-reseaux-solaires-via-une-phase-pilote-de-120-millions-de-dollars/,2,"Project aims to improve access to electricity in rural areas, but no details on mini-grid specifics",2026-05-11T21:08:08.903035
Chad,TANFON 2.5MW solar energy storage project,Unknown,2500,,Chad,,solar,https://businessday.ng/energy/article/how-reas-abba-aliyu-is-making-nigeria-africas-off-grid-energy-blueprint/,2,energy storage component mentioned,2026-05-11T21:52:36.231146
Chad,DARES programme,REA,,,rural Nigeria,,renewable energy,https://businessday.ng/energy/article/how-reas-abba-aliyu-is-making-nigeria-africas-off-grid-energy-blueprint/,2,"Aims to deliver electricity access to 17.5 million Nigerians, combines performance-based grants with private sector investment",2026-05-11T21:52:36.233304
Chad,Projet pilote de mini-réseaux pour éclairer Mandalia,Unknown,,,"Mandalia, Tchad",2024,Unknown,https://africaminigrids.org/fr/minigrid-pilot-project-to-illuminate-mandalia-chad/,2,Part of the Africa Minigrids Programme,2026-05-11T21:52:36.234763
Niger,Toto Mini-Grid,Unknown,,,"Nasarawa State, Nigeria",,solar,https://powerafrica.medium.com/a-blueprint-for-rural-electrification-building-a-market-for-mini-grids-in-niger-da0dcdd9c858,2,"Interconnected mini-grid, part of a larger project",2026-05-13T12:15:48.223857
Niger,Niger Solar Electricity Access Project (NESAP),NIGELEC,,,rural and peri-urban areas of Niger,,solar,https://www.worldbank.org/en/news/feature/2023/12/04/securing-electricity-in-niger-through-renewable-energy,2,"15 solar power plants, 12 operational as of July 2023",2026-05-13T12:15:48.227789
Niger,Ingall solar power plant,NIGELEC,,,"Ingall, Agadez region",,solar,https://www.worldbank.org/en/news/feature/2023/12/04/securing-electricity-in-niger-through-renewable-energy,2,part of the Niger Solar Electricity Access Project (NESAP),2026-05-13T12:15:48.229515
Niger,Toto Minigrid,PowerGen,,,Nigeria,,Unknown,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,2,"Will supply reliable power during the daytime, while the DisCo will deliver grid electricity at night",2026-05-13T12:15:48.231406
Niger,Engie Minigrids,Engie,,,Nigeria,,Unknown,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,2,300 minigrids planned by 2025,2026-05-13T12:15:48.233657
Niger,PowerGen Minigrids,PowerGen,,,Nigeria,,Unknown,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,2,28 minigrids planned,2026-05-13T12:15:48.235677
Niger,CrossBoundary and Engie Minigrids,CrossBoundary and Engie,,,Unknown,,Unknown,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,1,US$60 million investment,2026-05-13T12:15:48.237226
Niger,Niger Minigrid,Unknown,,,Niger,,Unknown,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,1,Part of the Niger Mini-Grid Feasibility Study,2026-05-13T12:15:48.238737
Niger,Toto Minigrid,PowerGen Renewable Energy,,,"Toto, Nasarawa, Nigeria",2022,solar,https://microgridnews.com/powergen-minigrids-under-the-nigerian-grid/,2,"Hybrid system with grid power-sharing agreement, planned commissioning in August 2022",2026-05-13T12:15:48.240565
Morocco,Noor I CSP,Unknown,160000,,Ouarzazate,2016,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,Connected to the Moroccan power grid on 5 February 2016,2026-05-13T12:25:39.777218
Morocco,Noor 2,Unknown,200000,,Unknown,2018,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,Part of the Noor project,2026-05-13T12:25:39.780665
Morocco,Noor IV,Unknown,72000,,Unknown,2018,photovoltaic,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,Part of the Noor project,2026-05-13T12:25:39.782033
Morocco,Ain Beni Mathar,Unknown,30000,,Ain Beni Mathar,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,Part of a larger 200-250 MW thermo-solar facility,2026-05-13T12:25:39.783637
Morocco,Solar Rooftop 500,Unknown,500000,,Unknown,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,Aims to install up to 500 MW of rooftop solar,2026-05-13T12:25:39.784699
Morocco,Ain Beni Mathar,Unknown,20000,,Ain Bni Mathar,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,"Also runs on fossil fuels (Gas), parabolic trough",2026-05-13T12:25:39.785828
Morocco,Noor I,Unknown,160000,,Drâa-Tafilalet,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,"Part of Ouarzazate Solar Power Station, parabolic trough",2026-05-13T12:25:39.787569
Morocco,Noor II,Unknown,200000,,Drâa-Tafilalet,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,"Part of Ouarzazate Solar Power Station, parabolic trough",2026-05-13T12:25:39.789606
Morocco,Noor III,Unknown,150000,,Drâa-Tafilalet,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,"Part of Ouarzazate Solar Power Station, solar power tower",2026-05-13T12:25:39.790668
Morocco,Noor IV,Unknown,72000,,Drâa-Tafilalet,,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,"Part of Ouarzazate Solar Power Station, photovoltaics with tracking",2026-05-13T12:25:39.791808
Morocco,Ouarzazate Solar Power Station,MASEN,,,Drâa-Tafilalet,2016,solar,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,First plant commissioned in 2016,2026-05-13T12:25:39.792784
Morocco,Ouarzazate Solar Power Station,ACWA Power,510000,,"Drâa-Tafilalet, Morocco",2016,concentrated solar power,https://en.wikipedia.org/wiki/Ouarzazate_Solar_Power_Station,3,"Also known as Noor Power Station, includes a 72 MW photovoltaic system",2026-05-13T12:25:39.794173
Morocco,Noor I,ACWA Power,160000,,"Near Ouarzazate, Morocco",2016,parabolic trough,https://en.wikipedia.org/wiki/Ouarzazate_Solar_Power_Station,3,"Phase 1 of the Ouarzazate Solar Power Station, includes molten salt storage",2026-05-13T12:25:39.795689
Morocco,Noor II,Unknown,,,"Near Ouarzazate, Morocco",,Unknown,https://en.wikipedia.org/wiki/Ouarzazate_Solar_Power_Station,1,"Mentioned as part of the Ouarzazate Solar Power Station, but no details provided",2026-05-13T12:25:39.796621
Morocco,Noor III,Unknown,,,"Near Ouarzazate, Morocco",,Unknown,https://en.wikipedia.org/wiki/Ouarzazate_Solar_Power_Station,1,"Mentioned as part of the Ouarzazate Solar Power Station, but no details provided",2026-05-13T12:25:39.797737
Morocco,Ouarzazate Solar Power Station,Unknown,,,Ouarzazate,,solar,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,No specific details provided,2026-05-13T12:25:39.798591
Morocco,Ain Beni Mathar thermo-solar facility,Unknown,250000,,Ain Beni Mathar,,solar,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,"30 MW from solar power, 200-250 MW total capacity",2026-05-13T12:25:39.799752
Morocco,Essaouira wind power facility,Unknown,60000,,Essaouira,2007,wind,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,Scheduled to come on-line in 2007,2026-05-13T12:25:39.800949
Morocco,Tangiers wind power facility,Unknown,140000,,Tangiers,,wind,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,No specific details provided,2026-05-13T12:25:39.802155
Morocco,Temsol solar power project,Temsol,,37000,Rural areas,2007,solar,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,3,"Supply solar power to 37,000 rural homes",2026-05-13T12:25:39.803702
Morocco,Total Energie solar power project,Total Energie,,,Rural areas,,solar,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,Contract awarded in May 2002,2026-05-13T12:25:39.805042
Morocco,Apex-BP solar power project,Apex-BP,,,Rural areas,,solar,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,Contract awarded in January 2004,2026-05-13T12:25:39.806166
Morocco,Alstom power generation facilities,Alstom,470000,,Tangier-Casablanca high speed rail link,,hybrid,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,2,"20 MW from solar power, rest from gas combined cycle combustion",2026-05-13T12:25:39.806832
Morocco,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-Hydro),Unknown,,,Mali,,hydro,https://africa-energy-portal.org/reports/drei-grid-electrification-2018,2,"Under Construction, 20,000,000 UA commitment",2026-05-13T12:25:39.807547
